,price,unitOfMeasure,sellByWeight,aisleName,name,prop65WarningIconRequired,departmentName,pid,aisleId,upc,restrictedValue,displayType,basePrice,averageWeight,pricePer,salesRank,shelfName,id,featured,inventoryAvailable,pastPurchased,isArProduct,unitQuantity,displayEstimateText,displayUnitQuantityText,promoEndDate,isMtoProduct,preparationTime,channelEligibility.delivery,channelEligibility.inStore,channelEligibility.pickUp,channelInventory.delivery,channelInventory.pickup,channelInventory.instore,promoDescription,promoType
10,1.99,OZ,I,Packaged Produce|1_23_4,Dandy Celery Sticks - 8 Oz,False,Fruits & Vegetables,960150019,1_23_4_4,0007315065200,0,-1,1.99,['0.00'],0.25,1829,Packaged Vegetables,960150019,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
11,3.33,LB,I,Fresh Fruits|1_23_1,Strawberries Prepacked - 1 Lb,False,Fruits & Vegetables,184070124,1_23_1_4,0071575620002,0,-1,4.99,['0.00'],3.33,3,Berries,184070124,False,1,False,False,LB,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: &lt;BR&gt;3 for $9.99&lt;BR&gt;SAVE up to:$ 4.98 on 3,P
12,7.98,LB,W,Fresh Fruits|1_23_1,Red Seedless Grapes - 2 Lb,False,Fruits & Vegetables,184100012,1_23_1_6,0048410001201,0,1,7.98,['2.00'],3.99,48,Grapes,184100012,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
13,2.0,LB,W,Fresh Fruits|1_23_1,Honeycrisp Apple,False,Fruits & Vegetables,184020020,1_23_1_1,0048402002001,0,1,2.0,['0.50'],3.99,6,Apples,184020020,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
14,2.99,EA,I,Fresh Fruits|1_23_1,Large Hass Avocado,False,Fruits & Vegetables,184040158,1_23_1_2,0048404007501,0,1,2.99,['0.50'],2.99,14,Avocados,184040158,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
15,2.24,LB,W,Fresh Vegetables & Herbs|1_23_2,Broccoli Crown,False,Fruits & Vegetables,184290007,1_23_2_4,0048429000701,0,1,2.24,['0.75'],2.99,9,Broccoli & Cauliflower,184290007,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
16,1.5,LB,I,Fresh Vegetables & Herbs|1_23_2,Red Bell Pepper,False,Fruits & Vegetables,184480039,1_23_2_15,0089631500113,0,1,2.0,['0.50'],1.5,16,Peppers,184480039,False,1,False,False,EACH,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: &lt;BR&gt;2 for $3.0&lt;BR&gt;SAVE up to:$ 1.0 on 2,P
17,6.99,OZ,I,Fresh Fruits|1_23_1,Blueberries Prepackaged - 18 Oz.,False,Fruits & Vegetables,960015089,1_23_1_4,0085308500304,0,-1,6.99,['0.00'],0.39,53,Berries,960015089,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
18,3.99,OZ,I,Fresh Vegetables & Herbs|1_23_2,NatureSweet Cherub Salad Tomatoes Heavenly - 10 Oz,False,Fruits & Vegetables,960533757,1_23_2_20,0075166677155,0,-1,3.99,['0.00'],0.4,34,Tomatoes,960533757,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
19,1.25,EA,I,Fresh Vegetables & Herbs|1_23_2,Cucumber,False,Fruits & Vegetables,184360021,1_23_2_10,0048436002101,0,1,1.25,['0.50'],1.25,5,Cucumbers,184360021,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
20,3.99,CT,I,Fresh Vegetables & Herbs|1_23_2,Signature Farms Romaine Hearts Prepackaged - 3 Count,False,Fruits & Vegetables,184660258,1_23_2_12,0002113098359,0,-1,3.99,['0.00'],1.33,52,Lettuce & Greens,184660258,False,1,False,False,COUNT,,ea,,False,0,True,True,True,1,1,1,,
21,0.94,LB,W,Fresh Fruits|1_23_1,Navel Orange Large,False,Fruits & Vegetables,184080188,1_23_1_5,0048408018801,0,1,1.49,['0.75'],1.25,21,Citrus,184080188,False,1,False,False,LB,approx,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: $1.25 lb&lt;BR&gt;SAVE up to: $0.74 lb,P
22,3.33,OZ,I,Fresh Fruits|1_23_1,Produce Blackberries Prepacked Fresh - 6 Oz,False,Fruits & Vegetables,184070027,1_23_1_4,0071575610020,0,-1,4.99,['0.00'],0.56,86,Berries,184070027,False,1,False,False,OUNCE,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: &lt;BR&gt;3 for $9.99&lt;BR&gt;SAVE up to:$ 4.98 on 3,P
23,1.25,LB,I,Fresh Vegetables & Herbs|1_23_2,Green Bell Pepper,False,Fruits & Vegetables,184480005,1_23_2_15,0004441900088,0,1,1.25,['0.50'],1.25,20,Peppers,184480005,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
24,1.99,OZ,I,Packaged Produce|1_23_4,Signature Farms Spinach - 8 Oz,False,Fruits & Vegetables,960469903,1_23_4_3,0002113098134,0,-1,2.29,['0.00'],0.25,79,Packaged Salads,960469903,False,1,False,False,OUNCE,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: SIGNATURE SALE $1.99&lt;BR&gt;SAVE up to: $0.3,P
25,1.25,EA,I,Fresh Fruits|1_23_1,Lemon Large,False,Fruits & Vegetables,184080250,1_23_1_5,0007224013429,0,1,1.25,['0.50'],1.25,8,Citrus,184080250,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
26,4.99,LB,W,Fresh Vegetables & Herbs|1_23_2,Green Asparagus,False,Fruits & Vegetables,184260003,1_23_2_2,0048426000201,0,1,4.99,['1.00'],4.99,10,Asparagus,184260003,False,1,False,False,LB,,,,False,0,True,True,True,1,1,1,,
27,7.98,LB,W,Fresh Fruits|1_23_1,Green Seedless Grapes - 2 Lb,False,Fruits & Vegetables,184100014,1_23_1_6,0048410001401,0,1,7.98,['2.00'],3.99,114,Grapes,184100014,False,1,False,False,LB,,,,False,0,True,True,True,1,1,1,,
28,3.99,OZ,I,Packaged Produce|1_23_4,O Organics Organic Spring Mix - 5 Oz,False,Fruits & Vegetables,184650029,1_23_4_3,0007989340853,0,-1,3.99,['0.00'],0.8,176,Packaged Salads,184650029,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
29,5.99,LB,I,Fresh Fruits|1_23_1,Mandarins Clementine Prepacked Bag - 3 Lb,False,Fruits & Vegetables,960021862,1_23_1_5,0009163600002,0,-1,5.99,['0.00'],2.0,62,Citrus,960021862,False,1,False,False,LB,,ea,,False,0,True,True,True,1,1,1,,
30,3.0,EA,I,Fresh Fruits|1_23_1,Cantaloupe Melon,False,Fruits & Vegetables,184110201,1_23_1_7,0048411020103,0,1,3.99,['4.00'],3.0,157,Melons,184110201,False,1,False,False,EACH,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: &lt;BR&gt;2 for $6.0&lt;BR&gt;SAVE up to:$ 1.98 on 2,P
31,1.0,LB,W,Fresh Fruits|1_23_1,Bartlett Pear,False,Fruits & Vegetables,184120604,1_23_1_8,0048412060401,0,1,1.0,['0.50'],1.99,37,Pears,184120604,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
32,1.87,LB,W,Fresh Vegetables & Herbs|1_23_2,Red Onion,False,Fruits & Vegetables,184450056,1_23_2_14,0048445005601,0,1,1.87,['0.75'],2.49,24,Onions & Garlic,184450056,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
33,5.99,CT,I,Fresh Fruits|1_23_1,Signature Farms Hass Avocados - 7 Count,False,Fruits & Vegetables,960497390,1_23_1_2,0002113020638,0,-1,5.99,['0.00'],0.86,65,Avocados,960497390,False,1,False,False,COUNT,,ea,,False,0,True,True,True,1,1,1,,
34,5.99,OZ,I,Fresh Fruits|1_23_1,Produce Organic Raspberries Prepacked - 6 Oz,False,Fruits & Vegetables,960011702,1_23_1_4,0071575610059,0,-1,5.99,['0.00'],1.0,192,Berries,960011702,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
35,0.62,LB,W,Fresh Vegetables & Herbs|1_23_2,Red Roma Tomato,False,Fruits & Vegetables,184570068,1_23_2_20,0048457006801,0,1,0.62,['0.25'],2.49,4,Tomatoes,184570068,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
36,2.99,OZ,I,Fresh Vegetables & Herbs|1_23_2,Signature Farms White Whole Mushrooms - 8 Oz,False,Fruits & Vegetables,960073827,1_23_2_13,0002113028444,0,-1,2.99,['0.00'],0.37,169,Mushrooms,960073827,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
37,2.99,EA,I,Fresh Vegetables & Herbs|1_23_2,White Cauliflower,False,Fruits & Vegetables,184330244,1_23_2_4,0003338369999,0,1,2.99,['2.50'],2.99,123,Broccoli & Cauliflower,184330244,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
38,2.99,LB,W,Fresh Vegetables & Herbs|1_23_2,Red Sweet Yam,False,Fruits & Vegetables,184580004,1_23_2_16,0048458000401,0,1,2.99,['1.50'],1.99,35,Potatoes & Yams,184580004,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
39,5.0,OZ,I,Packaged Produce|1_23_4,O Organics Organic Baby Spinach - 16 Oz,False,Fruits & Vegetables,184650215,1_23_4_3,0007989340857,0,-1,5.0,['0.00'],0.31,137,Packaged Salads,184650215,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
40,5.0,OZ,I,Packaged Produce|1_23_4,Signature Farms Broccoli Florets - 28 Oz,False,Fruits & Vegetables,960301180,1_23_4_4,0002113098447,0,-1,5.0,['0.00'],0.18,212,Packaged Vegetables,960301180,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
41,0.69,EA,I,Fresh Fruits|1_23_1,Lime,False,Fruits & Vegetables,184080409,1_23_1_5,0085126400368,0,-1,0.69,['0.33'],0.69,11,Citrus,184080409,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
42,2.0,EA,I,Fresh Fruits|1_23_1,Medium Hass Avocado,False,Fruits & Vegetables,184040105,1_23_1_2,0007074011111,0,-1,2.0,['0.40'],2.0,7,Avocados,184040105,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
43,3.33,OZ,I,Fresh Fruits|1_23_1,Raspberries Prepacked - 6 Oz,False,Fruits & Vegetables,184070159,1_23_1_4,0071575610001,0,-1,4.99,['0.00'],0.56,36,Berries,184070159,False,1,False,False,OUNCE,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: &lt;BR&gt;3 for $9.99&lt;BR&gt;SAVE up to:$ 4.98 on 3,P
44,2.99,LB,I,Fresh Vegetables & Herbs|1_23_2,Russet Potatoes - 5 Lb,False,Fruits & Vegetables,184500035,1_23_2_16,0002113053056,0,-1,2.99,['0.00'],0.6,146,Potatoes & Yams,184500035,False,1,False,False,LB,,ea,,False,0,True,True,True,1,1,1,,
45,5.99,LB,I,Fresh Fruits|1_23_1,Strawberries Prepacked - 2 Lb,False,Fruits & Vegetables,960012546,1_23_1_4,0074007500164,0,-1,7.99,['0.00'],3.0,59,Berries,960012546,False,1,False,False,LB,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: $5.99&lt;BR&gt;SAVE up to: $2.0,P
46,5.0,OZ,I,Packaged Produce|1_23_4,Signature Farms Peas Sugar Snap Stringless - 20 Oz,False,Fruits & Vegetables,960112447,1_23_4_4,0002113020440,0,-1,5.0,['0.00'],0.25,1044,Packaged Vegetables,960112447,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
47,5.0,OZ,I,Packaged Produce|1_23_4,Grab N Go Mixed Berry,False,Fruits & Vegetables,960484997,1_23_4_2,0024319100000,0,-1,5.0,['0.00'],0.42,530,Packaged Fresh Fruit,960484997,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
48,4.49,OZ,I,Packaged Produce|1_23_4,Taylor Farms Asian Chopped Salad Kit Bag - 13 OZ,False,Fruits & Vegetables,960057605,1_23_4_3,0082486200630,0,-1,4.49,['0.00'],0.35,230,Packaged Salads,960057605,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
49,1.99,OZ,I,Packaged Produce|1_23_4,Signature Farms Garden Salad - 12 Oz,False,Fruits & Vegetables,960469904,1_23_4_3,0002113098135,0,-1,2.29,['0.00'],0.17,76,Packaged Salads,960469904,False,1,False,False,OUNCE,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: SIGNATURE SALE $1.99&lt;BR&gt;SAVE up to: $0.3,P
50,2.99,LB,I,Packaged Produce|1_23_4,Signature Farms Baby-Cut Peeled Carrots - 16 Oz,False,Fruits & Vegetables,960053953,1_23_4_4,0002113098335,0,-1,2.99,['0.00'],2.99,30,Packaged Vegetables,960053953,False,1,False,False,LB,,ea,,False,0,True,True,True,1,1,1,,
51,1.79,EA,I,Fresh Vegetables & Herbs|1_23_2,Organic Green Onions - 1 Bunch,False,Fruits & Vegetables,184710237,1_23_2_14,0003338390403,0,-1,1.79,['0.00'],1.79,73,Onions & Garlic,184710237,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
52,4.99,LB,I,Fresh Fruits|1_23_1,Organic Strawberries Prepacked - 1 Lb,False,Fruits & Vegetables,184700156,1_23_1_4,0078035378421,0,-1,5.99,['0.00'],4.99,81,Berries,184700156,False,1,False,False,LB,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: $4.99&lt;BR&gt;SAVE up to: $1.0,P
53,4.99,OZ,I,Packaged Produce|1_23_4,Fresh Cut Grapes Mixed - 24 Oz,False,Fruits & Vegetables,960113634,1_23_4_2,0024184200000,0,-1,4.99,['0.00'],0.21,302,Packaged Fresh Fruit,960113634,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
54,5.0,OZ,I,Packaged Produce|1_23_4,Signature Farms Vegetable Medley - 28 Oz,False,Fruits & Vegetables,960301179,1_23_4_4,0002113098446,0,-1,5.0,['0.00'],0.18,1933,Packaged Vegetables,960301179,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
55,3.33,OZ,I,Fresh Fruits|1_23_1,Blueberries Prepackaged - 6 Oz.,False,Fruits & Vegetables,184070083,1_23_1_4,0071575650014,0,-1,4.99,['0.00'],0.56,46,Berries,184070083,False,1,False,False,OUNCE,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: &lt;BR&gt;3 for $9.99&lt;BR&gt;SAVE up to:$ 4.98 on 3,P
56,2.99,OZ,I,Fresh Vegetables & Herbs|1_23_2,Signature Farms Trimmed Celery Stalks Washed Prepacked - 16 Oz,False,Fruits & Vegetables,960273486,1_23_2_8,0002113028765,0,-1,2.99,['0.00'],2.99,116,Celery,960273486,False,1,False,False,LB,,ea,,False,0,True,True,True,1,1,1,,
57,1.5,LB,I,Fresh Vegetables & Herbs|1_23_2,Orange Bell Pepper,False,Fruits & Vegetables,184480013,1_23_2_15,0005783603121,0,-1,2.29,['0.50'],1.5,69,Peppers,184480013,False,1,False,False,EACH,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: &lt;BR&gt;2 for $3.0&lt;BR&gt;SAVE up to:$ 1.58 on 2,P
58,5.0,OZ,I,Packaged Produce|1_23_4,Fresh Cut Asparagus Spears - 18 Oz,False,Fruits & Vegetables,960133264,1_23_4_4,0024218200000,0,-1,5.0,['0.00'],0.28,554,Packaged Vegetables,960133264,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
59,1.99,OZ,I,Packaged Produce|1_23_4,Signature Farms Three Color Cole Slaw - 14 Oz,False,Fruits & Vegetables,960531249,1_23_4_3,0002113011196,0,-1,2.29,['0.00'],0.14,189,Packaged Salads,960531249,False,1,False,False,OUNCE,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: SIGNATURE SALE $1.99&lt;BR&gt;SAVE up to: $0.3,P
60,2.58,LB,W,Fresh Vegetables & Herbs|1_23_2,Green Cabbage,False,Fruits & Vegetables,184310009,1_23_2_6,0048431000901,0,1,2.58,['2.00'],1.29,162,Cabbages,184310009,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
61,1.49,LB,W,Fresh Vegetables & Herbs|1_23_2,Yellow Sweet Onion,False,Fruits & Vegetables,184450008,1_23_2_14,0002630361000,0,1,1.49,['0.75'],1.99,29,Onions & Garlic,184450008,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
62,1.87,LB,W,Fresh Fruits|1_23_1,Organic Navel Orange,False,Fruits & Vegetables,184700027,1_23_1_5,0048470002101,0,1,1.87,['0.75'],2.49,275,Citrus,184700027,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
63,4.49,OZ,I,Packaged Produce|1_23_4,Taylor Farms Caesar Chopped Salad Kit Bag - 11.15 Oz,False,Fruits & Vegetables,960464943,1_23_4_3,0003022304156,0,-1,4.49,['0.00'],0.4,100,Packaged Salads,960464943,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
64,9.99,OZ,I,Packaged Produce|1_23_4,Del Monte SunFresh Red Grapefruit No Sugar Added - 64 Oz,False,Fruits & Vegetables,960081630,1_23_4_2,0002400050916,0,-1,9.99,['0.00'],0.16,2884,Packaged Fresh Fruit,960081630,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
65,2.99,OZ,I,Packaged Produce|1_23_4,Signature Farms Sugar Snap Peas Stringless Prepackaged - 8 Oz,False,Fruits & Vegetables,184660263,1_23_4_4,0002113098347,0,-1,2.99,['0.00'],0.37,414,Packaged Vegetables,184660263,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
66,2.99,EA,I,Fresh Vegetables & Herbs|1_23_2,Cucumber Long Hot House English,False,Fruits & Vegetables,184360005,1_23_2_10,0003338367101,0,1,2.99,['0.50'],2.99,60,Cucumbers,184360005,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
67,3.49,OZ,I,Packaged Produce|1_23_4,Signature Farms Cauliflower - 10 OZ,False,Fruits & Vegetables,970022709,1_23_4_4,0002113014875,0,-1,3.49,['0.00'],0.35,99999,Packaged Vegetables,970022709,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
68,2.99,LB,W,Fresh Vegetables & Herbs|1_23_2,Green Beans - 1 Lb,False,Fruits & Vegetables,184270078,1_23_2_3,0048427007801,0,2,2.99,['1.00'],2.99,87,Beans & Peas,184270078,False,1,False,False,LB,,,,False,0,True,True,True,1,1,1,,
69,1.5,LB,I,Fresh Vegetables & Herbs|1_23_2,Yellow Bell Pepper,False,Fruits & Vegetables,184480001,1_23_2_15,0005783604689,0,-1,2.29,['0.50'],1.5,88,Peppers,184480001,False,1,False,False,EACH,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: &lt;BR&gt;2 for $3.0&lt;BR&gt;SAVE up to:$ 1.58 on 2,P
70,1.0,EA,I,Fresh Fruits|1_23_1,Large Mango,False,Fruits & Vegetables,184150286,1_23_1_10,0073296604959,0,1,1.49,['1.10'],1.0,55,Tropical Fruit,184150286,False,1,False,False,EACH,,ea,2022-04-26T23:59:00,False,0,True,True,True,1,1,1,Safeway Club Price: &lt;BR&gt;10 for $10.0&lt;BR&gt;SAVE up to:$ 4.9 on 10,P
71,1.25,LB,W,Fresh Fruits|1_23_1,Fuji Large Apple,False,Fruits & Vegetables,184020066,1_23_1_1,0048402006601,0,1,1.25,['0.50'],2.49,22,Apples,184020066,False,1,False,False,LB,approx,ea,,False,0,True,True,True,1,1,1,,
72,1.29,EA,I,Fresh Vegetables & Herbs|1_23_2,Cilantro - 1 Bunch,False,Fruits & Vegetables,184410069,1_23_2_11,0048441002701,0,-1,1.29,['0.25'],1.29,38,Herbs,184410069,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
73,3.99,CT,I,Fresh Fruits|1_23_1,Del Monte Gold Pineapple,False,Fruits & Vegetables,184150173,1_23_1_10,0505037211500,0,1,3.99,['2.00'],3.99,31,Tropical Fruit,184150173,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
74,4.99,OZ,I,Packaged Produce|1_23_4,Fresh Cut Melon Trio - 22 Oz,False,Fruits & Vegetables,960113639,1_23_4_2,0024184700000,0,-1,4.99,['0.00'],0.23,1169,Packaged Fresh Fruit,960113639,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
75,2.49,EA,I,Fresh Vegetables & Herbs|1_23_2,Celery - 1 Bunch,False,Fruits & Vegetables,184340009,1_23_2_8,0048434003201,0,1,2.49,['2.00'],2.49,89,Celery,184340009,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
76,4.99,OZ,I,Fresh Vegetables & Herbs|1_23_2,O Organics Organic Peppers Bell Peppers Sweet Mini - 16 Oz,False,Fruits & Vegetables,960132131,1_23_2_15,0007989340931,0,-1,4.99,['0.00'],0.31,1016,Peppers,960132131,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
77,3.99,OZ,I,Packaged Produce|1_23_4,O Organics Organic Baby Spinach - 5 Oz,False,Fruits & Vegetables,184650194,1_23_4_3,0007989340852,0,-1,3.99,['0.00'],0.8,121,Packaged Salads,184650194,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
78,1.49,EA,I,Fresh Vegetables & Herbs|1_23_2,Green Onions - 1 Bunch,False,Fruits & Vegetables,184380096,1_23_2_14,0048446001101,0,-1,1.49,['0.25'],1.49,26,Onions & Garlic,184380096,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
79,2.49,OZ,I,Packaged Produce|1_23_4,Signature Farms Coleslaw Broccoli - 12 Oz,False,Fruits & Vegetables,960055473,1_23_4_4,0002113098339,0,-1,2.49,['0.00'],0.21,2147,Packaged Vegetables,960055473,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
80,4.49,OZ,I,Packaged Produce|1_23_4,Taylor Farms Southwest Chopped Salad Kit Bag - 12.6 OZ,False,Fruits & Vegetables,960097077,1_23_4_3,0082486200632,0,-1,4.49,['0.00'],0.36,405,Packaged Salads,960097077,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
81,12.99,OZ,I,Packaged Produce|1_23_4,O Organics Veggie Tray W/dip - 36 OZ,False,Fruits & Vegetables,970015057,1_23_4_4,0007989312383,0,-1,12.99,['0.00'],0.36,99999,Packaged Vegetables,970015057,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
82,1.69,OZ,I,Packaged Produce|1_23_4,Del Monte Fruit Naturals Fruit Snack No Sugar Added Red Grapefruit - 6.5 Oz,False,Fruits & Vegetables,960494226,1_23_4_2,0002400050793,0,-1,1.69,['0.00'],0.26,1139,Packaged Fresh Fruit,960494226,False,1,False,False,OUNCE,,ea,,False,0,True,True,True,1,1,1,,
83,2.49,LB,I,Packaged Produce|1_23_4,Carrots Prepackaged - 2 Lb,False,Fruits & Vegetables,184320033,1_23_4_4,0002113098278,0,-1,2.49,['0.00'],1.25,194,Packaged Vegetables,184320033,False,1,False,False,LB,,ea,,False,0,True,True,True,1,1,1,,
84,3.99,LB,I,Fresh Vegetables & Herbs|1_23_2,Signature Farms Cucumbers Mini - 1 LB,False,Fruits & Vegetables,970003597,1_23_2_10,0002113098436,0,-1,3.99,['0.00'],3.99,99999,Cucumbers,970003597,False,1,False,False,LB,,ea,,False,0,True,True,True,1,1,1,,
85,2.79,EA,I,Fresh Vegetables & Herbs|1_23_2,Cal-Organic Farms Organic Iceberg Lettuce,False,Fruits & Vegetables,184710027,1_23_2_12,0007878390753,0,1,2.79,['1.50'],2.79,277,Lettuce & Greens,184710027,False,1,False,False,EACH,,ea,,False,0,True,True,True,1,1,1,,
